Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,0,0.95,,3.23,,,,,,0.03,,,
Kepler-10 b,Kepler-10,0,,,3.24,,,,5706,1.09,1.02,0.055,4.37,
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,0,0.93,,3.24,,,,,,0.02,,,
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,0,3.913,,3.269,,,,,,0.4,,,
GJ 3293 e,GJ 3293,0,0.08208,,3.28,0.21,3.34,,3466,0.4,0.42,-1.658,,
Kepler-595 c,Kepler-595,0,,1.009,3.3,,,,,0.82,0.93,,,
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,0,0.62,,3.3,,,,,,0.06,,,
Kepler-10 b,Kepler-10,0,0.01685,1.47,3.33,0,,2169,5708,1.06,0.91,,4.34,
DMPP-1 d,DMPP-1,0,0.0422,,3.35,0.07,,1632,6196,1.26,1.21,,4.41,
GJ 357 c,GJ 357,0,0.061,,3.4,,4.45,401,3505,0.34,0.34,-1.798,4.94,
Kepler-79 e,Kepler-79,0,,2.9,3.4,,,,,,1.1,,,
PSR B1257+12 c,PSR B1257+12,0,0.36,,3.4,0.0182,,,,,,,,
PSR B1257+12 c,PSR B1257+12,0,0.36,,3.4,0.022,,,,,,,,
Wolf 1061 c,Wolf 1061,0,0.089,,3.41,0.11,1.3,,3342,0.31,0.29,-1.991,,
GJ 9827 b,GJ 9827,0,0.01888,1.62,3.42,,315,1172,4269,0.61,0.61,,4.65,
TOI-1685 b,TOI-1685,0,0.011557,1.459,3.43,0,,1052,3461,0.46,0.46,-1.567,4.78,
HD 219134 c,HD 219134,0,0.064816,,3.49613,0,,,4913,0.77,0.79,-0.509,4.51,
HD 96700 c,HD 96700,0,0.141,,3.5,0.293,,,5845,,0.89,0.14,4.39,
Kepler-414 b,Kepler-414,0,,1.71,3.5,,,,,0.95,0.89,,,
Kepler-107 b,Kepler-107,0,0.04544,1.536,3.51,0,,1593,5854,1.45,1.24,,4.21,
Kepler-97 b,Kepler-97,0,,1.48,3.51,,,,5779,0.98,0.94,,4.43,
HD 20794 d,HD 20794,0,0.364,,3.52,0.25,,,,,0.81,,,
Kepler-98 b,Kepler-98,0,,1.99,3.55,,,,5539,1.11,0.99,,4.34,
