Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
CoRoT-23 b,CoRoT-23,0,3.6313,0.0484,11.769,982.0947,5900,1.61,1060.97
CoRoT-24 b,CoRoT-24,0,5.1134,0.056,3.7,5.7,4950,0.86,591.555
CoRoT-24 c,CoRoT-24,0,11.759,0.098,5,28,4950,0.86,591.555
CoRoT-25 b,CoRoT-25,0,4.86069,0.05789,12.106,93.12419,6040,1.19,1103.48
CoRoT-25 b,CoRoT-25,0,4.86069,0.0578,12.11,85.81,6040,1.19,1103.48
CoRoT-26 b,CoRoT-26,0,4.20474,0.0525,14.123,184.3414,5590,1.79,1045.18
CoRoT-26 b,CoRoT-26,0,4.20474,0.0526,14.12,165.26,5590,1.79,1045.18
CoRoT-27 b,CoRoT-27,0,3.57532,0.0476,11.287,3302.11,5900,1.08,1010.28
CoRoT-27 b,CoRoT-27,0,3.57532,0.0467,11.287,3273.649,5900,1.08,1010.28
CoRoT-28 b,CoRoT-28,0,5.20851,0.0603,10.705,153.82972,5150,1.78,766.183
