,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
2591,HATS-34 b,HATS-34,0,4749000.0,16.029,299.07803,5380.0,682415.16,-0.14,0.0725352421967254,4.314148493217576,3.625351958339112,2.992503857939675,3.5094690054726088,2.952611890354457,0.004512561270277651,0.004029192449024607,0.003978840834946257
2602,WASP-68 b,WASP-68,0,9309000.0,13.9,301.93,5911.0,1176817.98,0.505,0.11229119591052587,4.654808102645247,3.7536151647012153,3.0983772032813364,3.633632328770069,3.056700779036454,0.0054659775796965975,0.004873505124034717,0.004825741284468311
2603,KELT-12 b,KELT-12,0,10062000.0,19.952,301.9385,6279.0,1650330.54,0.892,0.03797021232509429,3.885277801611503,4.5113768189553225,3.723862590579574,4.367172429069398,3.6722064164069095,0.0043779835758812075,0.003916268418442123,0.003858273771169384
2604,TOI-892 b,TOI-892,0,13800000.0,11.994,301.9385,6261.0,967915.3799999999,0.431,0.17478743154489948,5.011102343642395,2.9543484512504987,2.438631956196472,2.8599138622059823,2.408984659550982,0.0050347915820864566,0.004478756455086356,0.004443160935101683
2608,HATS-63 b,HATS-63,0,6039000.0,13.529,305.1168,5627.0,745085.9400000001,0.012,0.12307019011593245,4.743034245370505,3.508881852564017,2.896364987873583,3.39672182092916,2.858129285939727,0.0052727019868617905,0.004698947933994733,0.004655317680728711
2609,HATS-64 b,HATS-64,0,9843000.0,18.82,305.1168,6554.0,1469281.6199999999,0.867,0.045718408579751846,4.021418756190866,4.4961161043100795,3.711265814328441,4.352399517179933,3.6598039950034313,0.004674044312757599,0.004179453777780547,0.004122500037560839
2616,WASP-45 b,WASP-45,0,5944500.0,10.604,306.38812,5150.0,591890.7,-0.336,0.2566531539110463,5.368551821526205,2.8946335700180565,2.389341014373996,2.8021077437217663,2.3607189049242487,0.005585715355924594,0.004957611696718638,0.004932265421627077
2622,TOI-1130 c,TOI-1130,0,10647000.0,16.814,309.56642,4250.0,480475.98,-0.854,0.06504659334969658,4.285460032537425,1.6052313509156961,1.3250192162588386,1.5539207606293894,1.337065214746162,0.001919236337982648,0.0017127472515864018,0.0016883043853327612
2626,TOI-2202 b,TOI-2202,0,14346000.0,11.321,310.83618,5144.0,550110.18,-0.401,0.2139740134993615,5.233345828298899,1.7948817712329908,1.4815639106722847,1.7375090796745059,1.4828478167377177,0.003267883871141901,0.00290234505636706,0.002881695129920892
2638,TOI-1601 b,TOI-1601,0,10296000.000000002,13.888,314.6517,5948.0,1524988.98,0.732,0.11732614463507149,4.753913065862703,4.067401020004723,3.35738802301781,3.937388142329168,3.311482984650535,0.005961638337216923,0.005314872832472238,0.0052705305170620866
2646,TOI-251 b,TOI-251,0,8611500.0,2.74,317.83,5875.0,612780.96,-0.08,15.43217147455153,10.756679053366323,2.78683885636378,2.3003631440367642,2.697758645793963,2.273663296531198,0.00427215198444061,0.003560394124668928,0.00374998527172359
2659,HD 202772 A b,HD 202772 A,0,7812000.0,17.318,323.23311,6272.0,1803525.7799999998,0.971,0.06215935162957915,4.314844022546978,5.358215086664454,4.422875213986077,5.186941843825712,4.3606700555884474,0.006165920957549433,0.005510851219057277,0.005455978479407467
2661,K2-140 b,K2-140,0,8865000.0,12.274,323.86877,5654.0,689378.58,-0.049,0.17494218880943854,5.130356265662767,2.79615917260038,2.308056488742535,2.706781041779079,2.281186450833516,0.004704318586783577,0.0041841238781891495,0.004156749574519532
2677,Kepler-424 b,Kepler-424,0,6600000.0,9.98,327.35,5460.0,654561.48,-0.15,0.3289308158962127,5.720012136148599,3.057590303081836,2.523851720637675,2.9598556287526057,2.4924892597358697,0.006290284453067982,0.005573393117580392,0.0055642517566459
2680,HATS-58 A b,HATS-58 A,0,8697000.0,12.274,327.3649,7175.0,995769.0599999999,0.689,0.17683067171120875,5.1579727700111615,4.317342718555315,3.563699439334836,4.179340552555384,3.514530353713191,0.007236967369043093,0.006440054071730901,0.006409385824747011
2690,HAT-P-42 b,HAT-P-42,0,8625000.0,14.348,331.801,5743.0,1065403.26,0.356,0.1121985973093107,4.802852060762201,3.579082491966256,2.954311274649357,3.4646785244375793,2.9150728616761694,0.00511814516624467,0.004562509141190032,0.004526404158837184
2698,HAT-P-35 b,HAT-P-35,0,7470000.0,14.93,334.979,6096.0,1002732.48,0.407,0.10053609199373043,4.730803781273307,3.960417393960458,3.2690796553467973,3.8338242059141705,3.224597509049277,0.005427157680629002,0.004840603864767569,0.004802099884062315
2700,HAT-P-6 b,HAT-P-6,0,7852500.0,14.908,335.932,6570.0,1016659.32,0.553,0.10126912655399041,4.74102280117333,4.201431503891976,3.4680218993209198,4.067134394388597,3.4203570300858286,0.005764582447683151,0.005141883929667768,0.00510270245063558
2701,HAT-P-61 b,HAT-P-61,0,4515000.0,10.077,335.94463,5587.0,654561.48,-0.115,0.327912346217293,5.76665899519198,3.772006068995047,3.1135577575234423,3.6514353750242003,3.0716284803244105,0.007694600160220891,0.0068194801973351865,0.006816850954570012
2703,XO-5 b,XO-5,0,7320000.0,12.431,336.568,5370.0,752049.3600000001,-0.056,0.17500016717062308,5.196840957781622,3.064754699202943,2.5297654866053914,2.9667910177628007,2.4982864542789853,0.005113363928314409,0.004548179678353706,0.004523457717996778
2704,HAT-P-6 b,HAT-P-6,0,7855500.0,14.908,336.58197,6570.0,1016659.32,0.555,0.10146506470274165,4.745607112101936,4.205468106101958,3.4713538648307947,4.071041968192783,3.423636350358055,0.005771881819235473,0.005148353739267233,0.00510941293546016
2705,HAT-P-5 b,HAT-P-5,0,6112500.0,14.12,336.89,5960.0,814720.1399999999,0.187,0.11952750952204179,4.878460128183879,3.8573746681162966,3.1840242570945017,3.7340752003706736,3.140930179716738,0.005619793894535621,0.005008884811729895,0.004974057340332674
2721,HATS-3 b,HATS-3,0,7275000.0,15.48,340.382,6351.0,974878.7999999999,0.456,0.09165107380244797,4.683320322054017,4.127953165962016,3.4073700750960705,3.996004762699824,3.3606670539421875,0.0054498735627460295,0.0048626394763492875,0.004823941659878133
2764,CoRoT-19 b,CoRoT-19,0,7770000.0,14.46,352.78,6090.0,1148964.3,0.544,0.11654212104520142,4.93314498688116,4.201851993972396,3.46836898788014,4.067541443668585,3.4206986337077425,0.006005127460081189,0.0053532597509220094,0.005322354362001318
2793,HD 189733 b,HD 189733,0,4648500.0,12.756,363.582,5040.0,529219.92,-0.48,0.1749615765753209,5.332120803081716,3.0129702432258902,2.487020620431452,2.9166618316023527,2.456391099892568,0.004951860195837362,0.0044040140396385576,0.004387222120424168
2802,WASP-19 b,WASP-19,0,2478000.0,15.861,366.77398,5616.0,703305.42,-0.043,0.09181014293091751,4.80275048669834,5.307018592515344,4.380615673942857,5.137381825524075,4.319038272861415,0.00688119053022469,0.006141865366631043,0.006109805520749039
2817,HD 189733 b,HD 189733,0,4659000.0,12.543,370.58978,5050.0,536183.34,-0.465,0.18757416092538975,5.428777674253242,3.035672419843181,2.5057598633771194,2.93863834205174,2.47475591514058,0.005088522135279255,0.004523834754630204,0.004510591644088955
2819,HAT-P-37 b,HAT-P-37,0,5685000.000000001,13.204,371.528,5500.0,612780.96,-0.208,0.16119770099792477,5.297842771923074,3.1862953197653043,2.63008975307906,3.0844466400778616,2.5966759384998794,0.005067477379735302,0.004508871780427205,0.004492183828782365
2821,HD 2685 b,HD 2685,0,8520000.0,16.141,371.8611,6801.0,1086293.52,0.668,0.08832289140153718,4.793814275068859,4.309545424918459,3.557263255604837,4.171792496350201,3.5081948901503357,0.005513406996796778,0.004919702428791108,0.00488967887826057
2828,OGLE-TR-132 b,OGLE-TR-132,0,4552500.0,13.45,375.02,6210.0,919171.4400000001,0.371,0.1539470663679826,5.273781359247004,4.969083365774409,4.101671041427989,4.810248565710041,4.044264597063969,0.007716918550492975,0.006872411371716557,0.006858257887435267
2832,KELT-18 b,KELT-18,0,6825000.0,17.598,375.0394,6670.0,1330013.22,0.813,0.06873386981548923,4.610657256519119,5.234195410300911,4.320504640247808,5.066886407755446,4.259821893551848,0.006076251243918574,0.005427896678036938,0.005393246416405885
2834,TOI-157 b,TOI-157,0,4707000.0,14.415,375.0394,5404.0,814720.1399999999,0.02,0.12505953107754728,5.094331152694742,3.9928147481113183,3.295821667818299,3.86518599135137,3.2509067797680515,0.005785277905888953,0.005154982570545847,0.005133021727077958
2836,WASP-121 b,WASP-121,0,3816000.0,20.905,375.99289,6459.0,1016659.32,0.519,0.041106732583999134,4.235656946549913,5.910130589939677,4.8784473327175455,5.721215584594204,4.8095265660547835,0.005637375108845977,0.005043196602805948,0.005000885025887603
2842,Qatar-9 b,Qatar-9,0,3510000.0,11.31,378.2177,4309.0,487439.39999999997,-0.821,0.26111864017137926,5.775580885769278,2.8493624842217034,2.3519725325119563,2.758283730419847,2.324145811608123,0.005305976939845342,0.004707493100627229,0.004705711328013167
2843,HATS-33 b,HATS-33,0,5590500.0,13.787,378.85336,5659.0,710268.84,-0.018,0.1443928396648157,5.235482739179392,3.584478124062245,2.9587650352907566,3.4699016872707085,2.9194501194772084,0.005459191318433735,0.004860557810870212,0.004843156969334902
2846,KELT-14 b,KELT-14,0,4434000.0,17.038,380.12468,5802.0,953988.54,0.279,0.07676337604603758,4.717476822155829,4.775330294801856,3.9417398625973803,4.622688735628101,3.8867507283495986,0.0057686730620718635,0.005150509457857955,0.005119854279537615
2852,TrES-2 b,TrES-2,0,5334000.0,14.258,381.1,5854.0,710268.84,0.038,0.13132486363992749,5.1635242079634684,3.789873851936612,3.128306507437907,3.668732021294831,3.0861322409817697,0.00557304007744465,0.004964356677831212,0.004945354964599251
2858,TrES-2 b,TrES-2,0,5337000.0,13.72,381.396,5850.0,696342.0,0.025,0.14750190887868778,5.265832729778458,3.760561181796041,3.1041107108669292,3.640356319153872,3.062338703736461,0.0057588876168613145,0.005127195537187591,0.005111115780688237
2860,TrES-2 b,TrES-2,0,5344500.0,13.305,382.03166,5850.0,661524.9,-0.023,0.16200878305795868,5.351780423439653,3.6555078380786425,3.017395671892395,3.5386609643485483,2.9770806844519746,0.005782550912942323,0.005145748304310618,0.00513227680886024
2875,TOI-163 b,TOI-163,0,8700000.0,16.69,387.7526,6495.0,1148964.3,0.636,0.08330470857368884,4.813990614186648,4.186890798209531,3.4560194459448312,4.053058476657946,3.4085443803734723,0.005202313076146565,0.004642508360285811,0.004616225624136712
2879,HATS-35 b,HATS-35,0,4798500.0,16.41,388.38826,6300.0,995769.0599999999,0.465,0.08778578388563157,4.858864686178248,5.109148320313647,4.217286000096122,4.945836398934812,4.158144585544411,0.006448647723415051,0.005755786822276021,0.005730171273852837
2890,WASP-4 b,WASP-4,0,3468000.0000000005,15.838,393.139,5504.0,619744.38,-0.179,0.09883913902073077,4.975983633627255,4.1482193763046595,3.424098578516732,4.015623171580732,3.3771295812484556,0.0054712106963971,0.004879527806070784,0.004857734463729705
2910,OGLE-TR-113 b,OGLE-TR-113,0,3433500.0,12.251,400.449,4790.0,536183.34,-0.529,0.2175286350674066,5.710102248605933,3.4082601307503846,2.8133079787390063,3.299316432972288,2.7765354317292417,0.005903515219729151,0.00524429196163333,0.005244788493264036
2920,Kepler-428 b,Kepler-428,0,6495000.0,12.11,403.63,5150.0,557073.6,-0.39,0.22700470014424073,5.76601404127713,2.6844893320295538,2.2158799407648875,2.598680683846129,2.1911051721972914,0.004719733684384027,0.004190426554472921,0.004189810419043012
