,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Dhrawn
442,HD 191939 d,HD 191939,0,31050000.0,3.04,5.8,5348.0,654561.48,-0.187,0.2062011502735271,1.3795366830533773,16901.14343216608,13950.848774285512,16360.905013870002,13751.92030715073,0.01749299218934699,0.019883626573787377,0.032913551002289994,0.001881627813852758,0.005338340706345089
450,Kepler-79 c,Kepler-79,0,28050000.0,3.72,5.9,6174.0,905244.6,0.342,0.11447404599437037,1.25779708567818,24111.845761286862,19902.837653245042,23341.1200723086,19619.038362603296,0.010047749220628259,0.011461135380889295,0.018453922108075244,0.0011090421805818704,0.003168826396164864
451,TOI-1235 b,TOI-1235,0,5739000.0,1.694,5.9,3997.0,431732.04,-1.054,1.212259607049077,1.8639117713059685,23865.952795987432,19699.86821586223,23103.086979163778,19418.96311464989,0.01852393125707029,0.020024445475937378,0.03668518679245223,0.0022102428696469992,0.006069491176476861
455,Kepler-79 d,Kepler-79,0,43050000.0,7.16,6.0,6174.0,905244.6,0.342,0.016326610211761794,0.9142714585150996,19463.023713524053,16065.522525590906,18840.89579724107,15836.440423029098,0.00571405308800907,0.006714004142244374,0.009763723701100431,0.0007407216650480322,0.0021329703041870957
469,TOI-270 c,TOI-270,0,6789000.0,2.355,6.15,3506.0,264609.96,-1.712,0.47031217583318646,1.613980006116442,15024.290953220769,12401.623113282223,14544.045387992299,12224.785422914894,0.02495013696087402,0.028179563669273155,0.0492978904338522,0.0027227471091422683,0.0076331722009737825
474,Wolf 503 b,Wolf 503,0,8559000.0,2.043,6.26,4716.0,480475.98,-0.676,0.7332516926754273,1.7482721187337364,24293.23640765072,20052.5644150259,23516.712637833807,19766.630134915627,0.01733239885233164,0.019514877005850337,0.03527546562533549,0.001919982298076144,0.005350427223981297
476,TOI-1201 b,TOI-1201,0,4305000.0,2.415,6.28,3476.0,355134.42,-1.469,0.4453403841039656,1.6105614606075729,21700.028877233974,17912.031956829618,21006.395968628236,17656.620037591478,0.017066008239355314,0.01929694342055383,0.033859662319857035,0.0018679400475494065,0.005255420204399419
477,LTT 3780 c,LTT 3780,0,11430000.0,2.42,6.29,3360.0,264609.96,-1.777,0.443290463461046,1.6101772564077064,11153.823670063368,9206.791712089367,10797.296072883151,9075.509881704178,0.03274689105040318,0.036971726024351954,0.06445716730212715,0.0036111761400125413,0.010104288011050334
492,LHS 1140 b,LHS 1140,0,14354999.999999998,1.635,6.38,2988.0,146231.82,-2.488,1.4579789327022974,1.972911067599242,6609.906119782862,5456.068760047011,6398.623064197351,5378.269379337022,0.062309600755114776,0.06697420958700649,0.12210738906585065,0.008382680855782105,0.02254852842475291
497,TOI-1266 c,TOI-1266,0,15555000.0,1.673,6.4,3573.0,292463.64,-1.58,1.3651362275701182,1.9534309517922708,10709.319661024765,8839.881139763287,10367.000460083127,8713.831174400026,0.03948556133761291,0.042551119056737204,0.07855044080456926,0.005127177449146997,0.013926621929826051
505,K2-291 b,K2-291,0,4891500.0,1.589,6.49,5520.0,626707.8,-0.166,1.6156855693993566,2.018442806777786,43099.86012818142,35576.26933671053,41722.19001030544,35068.97885997834,0.009710704418420162,0.010474712860918922,0.01943664033175255,0.0013442307785321965,0.0036600853672684812
517,K2-3 b,K2-3,0,11655000.0,2.29,6.6,3835.0,417805.2,-1.15,0.5489355146953856,1.69554872591378,15846.769858783942,13080.528589565796,15340.23407805575,12894.010224716823,0.024410200108007638,0.027531344420080782,0.049152129034351844,0.0027350341815575957,0.007648500085991591
520,TOI-125 c,TOI-125,0,12210000.0,2.759,6.63,5320.0,591890.7,-0.285,0.3153132840727491,1.5482352893062008,25473.525666584996,21026.820211824095,24659.274413717147,20726.993786842217,0.013080207581345628,0.01483189189298721,0.0257421573186925,0.0014553587999939735,0.004119420203064748
522,LHS 1140 b,LHS 1140,0,13125000.0,1.43,6.65,3131.0,132304.98,-2.526,2.271419625208382,2.153767663298948,6763.122185371841,5582.539147651367,6546.941638367269,5502.936395637515,0.055821756411261164,0.059777104476757444,0.10589066377466541,0.009199861725734799,0.024279200158849847
528,Kepler-80 c,Kepler-80,0,11880000.000000002,2.74,6.74,4540.0,473512.56000000006,-0.77,0.32725933907584975,1.5664290010365043,19533.886922721867,16124.01572276109,18909.493891761525,15894.099551803936,0.017148229440685447,0.019430238359413935,0.03381920991184584,0.001921821752018138,0.005428633645521603
529,Kepler-80 d,Kepler-80,0,5580000.0,1.53,6.75,4540.0,473512.56000000006,-0.77,1.8824060989175242,2.097791006764466,28502.29234042989,23526.87980891554,27591.22774923182,23191.404440171067,0.014154584856566198,0.015240186504479877,0.028074300375227193,0.002123240615330548,0.005734294106508129
534,TOI-1759 b,TOI-1759,0,17640000.0,3.06,6.8,3972.0,438695.46,-1.051,0.23704373097479936,1.4888460441966638,13636.333034545542,11255.949679634037,13200.452999593534,11095.448418947803,0.022062320815035234,0.02503359773363032,0.0426875255256403,0.002499760005400758,0.007068788699726834
